id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
18069;92046;11;;RUE;FRANCOIS COPPEE;92240;14.45;14;1;2
18070;93051;103;;BD;DU MARECHAL FOCH;93160;18.23;17;1;2
18071;93051;18;;RUE;DE LA REPUBLIQUE;93160;18.4;18;1;2
18072;94002;43;;RUE;EMILE ZOLA;94140;77.56;58;3;2
18073;94028;136;;AV;LAFERRIERE;94000;25.36;24;2;2
18074;94058;11;;RUE;DE L'EMBARCADERE;94170;40.72;40;2;2
18075;95042;83;;;LE PARC DE BAILLET;95560;48.09;48;2;1
18076;01160;80;;RUE;DE MEYRIN;01210;63.54;63;3;2
18077;01199;4;;PL;DE L HOTEL DE VILLE;01640;44.24;48;2;2
18078;05023;7;;AV;ADRIEN DAURELLE;05100;67;66;4;2
18079;05046;16;;PL;BARTHELON;05200;43.33;43;3;2
18080;06027;9;;ALL;DES JONCS;06800;73.53;80;3;2
18081;06027;8;;RUE;PASQUALINI;06800;67.01;70;3;2
18082;06054;44;;AV;GEN DE GAULLE;06340;60.48;60;2;2
18083;06083;8;;RUE;ISOLA;06500;34.39;37;1;2
18084;06083;242;;CRS;DU CENTENAIRE;06500;47.03;47;2;2
18085;06088;210;;AV;DE FABRON;06200;45.01;46;2;2
18086;06155;201;;AV;GEORGES POMPIDOU;06220;62.29;62;3;2
18087;11262;7;;RUE;GRACCHUS BABOEUF;11100;69.63;69;4;2
18088;11310;;;;LE VILLAGE;11190;13.78;18;1;2
18089;24037;3;;RUE;LAJUGIE;24100;81.43;82;3;2
18090;25222;;;;A BERMOTTE;25580;46.8;114;4;2
18091;26290;5245;;;MONTAGNE DE BEURE;26420;17.63;18;1;2
18092;29105;7;;PAS;SURCOUF;29400;61.3;63;3;2
