id_commune;population_municipale;population_comptee_a_part;population_totale
03031;291;9;300
03032;244;2;246
03033;181;4;185
03034;496;12;508
03035;212;4;216
03036;2572;72;2644
03037;259;2;261
03038;521;8;529
03039;384;7;391
03040;1126;38;1164
03041;319;12;331
03042;530;17;547
03043;1189;75;1264
03044;1516;36;1552
03045;849;18;867
03046;1026;23;1049
03047;407;9;416
03048;1305;24;1329
03049;428;10;438
03050;179;10;189
03051;301;6;307
03052;1093;29;1122
03053;1102;25;1127
03054;237;6;243
03055;966;17;983
03056;382;7;389
03057;201;6;207
03058;238;6;244
03059;359;7;366
03060;1030;17;1047
03061;394;6;400
03062;351;17;368
03063;1028;20;1048
03064;180;1;181
03065;544;9;553
03066;324;5;329
03067;138;4;142
03068;104;1;105
03069;312;6;318
03070;133;1;134
03071;248;3;251
03072;492;12;504
03073;638;11;649
03074;656;15;671
03075;168;2;170
03076;227;7;234
03077;128;3;131
03078;231;8;239
03079;303;8;311
03080;691;11;702
03081;327;12;339
03082;6132;189;6321
03083;580;13;593
03084;2034;31;2065
03085;646;55;701
03086;321;8;329
03087;597;7;604
03088;320;2;322
03089;152;1;153
03090;305;8;313
03091;438;9;447
03092;628;13;641
03093;1185;27;1212
03094;3297;102;3399
03095;12474;481;12955
03096;86;1;87
03097;360;9;369
03098;4459;87;4546
03099;391;11;402
03100;1381;35;1416
03101;8729;166;8895
03102;3032;59;3091
03103;1065;25;1090
03104;1169;32;1201
03105;357;7;364
03106;1316;105;1421
03107;1270;27;1297
03108;376;6;382
03109;781;32;813
03110;968;26;994
03111;1112;24;1136
03112;668;9;677
03113;536;16;552
03114;279;7;286
03115;341;7;348
03116;191;5;196
03117;475;12;487
03118;5830;197;6027
03119;413;4;417
03120;710;12;722
03121;647;17;664
03122;236;6;242
03124;219;3;222
03125;124;2;126
03126;1167;13;1180
03127;620;10;630
03128;2645;57;2702
03129;312;13;325
03130;279;6;285
03131;550;13;563
03132;559;15;574
03133;519;10;529
03134;193;3;196
03135;407;9;416
03136;235;5;240
03137;271;6;277
03138;3144;73;3217
03139;313;11;324
03140;1154;33;1187
03141;149;2;151
03142;242;5;247
03143;92;3;95
03144;211;8;219
03145;736;13;749
03146;154;35;189
03147;167;2;169
03148;349;6;355
03149;441;16;457
03150;203;7;210
03151;159;3;162
03152;231;7;238
03154;276;4;280
03155;1881;42;1923
03156;1688;54;1742
03157;1020;23;1043
03158;871;19;890
03159;780;15;795
03160;410;4;414
03161;900;29;929
03162;202;6;208
03163;751;22;773
03164;273;2;275
03165;1384;86;1470
03166;306;5;311
03167;286;4;290
03168;906;15;921
03169;331;6;337
03170;129;6;135
03171;249;6;255
03172;122;2;124
03173;1142;33;1175
03174;914;25;939
03175;278;12;290
03176;541;10;551
03177;253;3;256
03178;298;6;304
03179;297;10;307
03180;662;11;673
03181;296;3;299
03182;263;1;264
03183;469;4;473
03184;505;8;513
03185;34361;1070;35431
03186;1524;21;1545
03187;630;9;639
03188;219;1;220
03189;715;24;739
03190;19246;542;19788
03191;280;8;288
03192;150;3;153
03193;187;4;191
03194;125;2;127
03195;2570;94;2664
03196;221;3;224
03197;1453;32;1485
03198;187;0;187
03200;1520;256;1776
03201;304;13;317
03202;603;15;618
03203;387;9;396
03204;623;18;641
03205;440;11;451
03206;168;6;174
03207;512;13;525
03208;423;9;432
03209;151;3;154
03210;399;10;409
03211;2507;49;2556
03212;1512;25;1537
03213;252;4;256
03214;382;3;385
03215;550;8;558
03216;172;3;175
03217;761;35;796
03218;272;8;280
03219;215;5;220
03220;710;15;725
03221;730;8;738
03222;90;5;95
03223;441;14;455
03224;288;7;295
03225;444;10;454
03226;250;5;255
03227;373;8;381
03228;38;0;38
03229;612;18;630
03230;526;16;542
03231;188;5;193
03232;303;9;312
03233;395;8;403
03234;373;11;384
03235;969;10;979
03236;3654;70;3724
03237;427;9;436
